Week: ,Week 1 (Feb 3-9),Week 2 (Feb 10-16),Week 3 (Feb 17-23),Week 4 (Feb 24-Mar 2),Week 5 (Mar 3-Mar 9),Week 6 (Mar 10-Mar 16),Week 7 (Mar 17-Mar 23),Week 8 (Mar 24-Mar 30),Week 9 (Mar 31-Apr 6),Week 10 (Apr 7-Apr 13),Week 11 (Apr 14-Apr 20),Week 12 (Apr 21-Apr 27),Week 13 (Apr 28-May 04),Week 14 (May 05-May 11) - Mothers Day Week,Week 15 (May 12-May 18),Week 16 (May 19-May 25),Week 17 (May 26-June 1),Week 18 (June 2-June 8),Week 19 (June 9-June 15),Week 20 (June 16-June 22),Week 21 (June 23-June 29),Week 22 (June 30-July 6),Week 23 (July 7-July 13),Week 24 (July 14-July 20),Week 25 (July 21-July 27),Week 26 (July 28-Aug 03),Week 27 (Aug 04-Aug 10),Week 28 (Aug 11-Aug 17),Week 29 (Aug 19-Aug 24),Week 30 (Aug 25-Aug 31),Week 31 (Sep 1-Sep 7),Week 32 (Sep 8-Sep 14),Week 33 (Sep 15-Sep 21),Week 34 (Sep 22-Sep 28),Week 35 (Sep 29-Oct 5),Week 36 (Oct 6-Oct 12)
Overall Cost: ,"$114,081","$113,423","$115,549","$113,290","$112,719","$114,507","$111,443","$117,026","$116,560","$112,358","$111,906","$115,879","$114,405","$105,607","$106,102","$106,649","$107,784","$155,792","$175,814","$205,524.00","$206,868","$229,241","$224,845","$246,789","$251,072","$250,430","$191,852","191,549","$194,545","$190,550","$199,518","$186,905","$192,520","$204,984","$184,509","$186,213"
Overall ROAS:,5.61,5.6,6.07,5.22,4.82,4.5,4.62,4.4,4.9,4.87,5.42,5.94,5.49,8.13,6.68,6.12,5.11,3.97,3.74,3.07,3.15,3.4,2.94,2.4,2.8,3.12,3.94,4.51,4.05,3.48,3.46,3.62,3.36,3.32,4.7,3.44
Web ROAS:,,,,,,,,,,,,,,,1.31,1.49,1.11,0.88,0.76,0.66,0.65,0.74,0.66,0.55,0.75,0.65,0.84,1.03,0.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APP ROAS:,,,,,,,,,,,,,,,5.23,4.52,3.94,3.16,2.95,2.46,2.49,2.65,2.28,1.85,2.05,2.217,3.09,3.48,3.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Evergreen Prospecting (Lowest Cost),"$48,393","$48,195","$49,314","$48,198","$48,554","$49,027","$48,229","$50,521","$49,160","$48,481","$48,744","$49,110","$48,012","$44,250","$44,521","$44,368","$45,406","$65,332","$73,353","$85,511.00","$87,067","$96,520","$94,384","$103,108","$88,075","$88,809","$67,688","$62,718","$63,338","$62,097","$71,949","$69,543","$71,919","$71,918","$67,818","$43,052"
US Evergreen Prospecting (Lowest Cost) ROAS:,5.13,5.13,5.25,4.58,3.99,3.8,3.75,3.56,3.8,3.6,4.33,5.21,4.65,7.55,6.09,5.57,4.38,3.42,3.04,2.52,2.66,2.57,2.22,1.99,2.34,2.58,3.34,4.68,3.93,3.4,3.22,3.39,3.01,3.02,3.84,3.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S+ 2.0 US Evergreen Prospecting (Lowest Cost),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$23,874"
S+ 2.0 US Evergreen Prospecting (Lowest Cost) ROAS:,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Evergreen Prospecting (Cost Cap) Cost:,"$19,434","$19,418","$19,519","$19,251","$19,376","$19,090","$17,309","$19,891","$20,676","$18,111","$18,182","$19,739","$20,147","$18,648","$18,856","$19,067","$19,074","$27,961","$31,621","$36,857.00","$36,985","$40,424","$39,907","$43,634","$47,845","$47,692","$36,764","$33,563","$34,134","33,741","$38,593","$37,402","$38,730","$38,688","$36,156","$37,466"
US Evergreen Prospecting (Cost Cap) ROAS:,4.99,5.18,6.2,4.98,4.32,3.93,4.21,3.91,4.08,4.16,4.49,5.89,5.59,8.8,7.55,6,5.17,3.8,3.4,3.3,3.25,3.25,2.66,2.37,2.06,2.61,3.78,4.43,4.27,3.88,4.22,4.23,3.89,4.19,5.09,3.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Evergreen Retargeting (Lowest Cost)  Cost:                 Expanded by adding Holiday season Viewers and clickers on Feb 27,"$4,915","$4,715","$4,651","$4,741","$4,751","$4,772","$4,877","$4,984","$4,914","$4,778","$9,553","$10,773","$5,729","$5,339","$5,335","$5,233","$5,431","$7,632","$8,894","$10,083.00","$10,542","$11,602","$10,992","$12,174","$10,724","$10,380","$8,075","$7,908","$8,246","$7,775","$8,107","$8,014","$8,228","$7,993","$7,735","$7,821"
US Evergreen Retargeting (Lowest Cost)  ROAS:,3.73,3.47,2.65,3.06,3.71,4.46,3.7,4.02,4.69,4.36,4.36,4.85,6.21,9.56,6.5,5.15,4.48,4.64,4.98,3.22,2.65,2.51,2.38,2.03,2.14,2.57,3.44,4.49,3.8,,3.44,4.18,3.76,3.61,4.49,2.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Reeng (Lowest Cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,379","$17,818","17,418","$11,188","$8,507","$8,978","$4,600","$3,494","$3,755"
US Reeng (Lowest Cost) ROAS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.19,0.3,0.44,0.55,0.45,0.78,0.58,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Evergreen Prospecting (Lowest Cost),"$12,925","$12,852","$13,249","$13,174","$12,246","$12,665","$12,184","$12,162","$12,751","$12,169","$12,173","$12,710","$12,970","$11,677","$11,235","$11,364","$11,051","$16,586","$19,273","$22,868.00","$22,271","$25,340","$24,721","$27,899","$26,110","$25,242","$19,904","$17,887","$18,592","17,979","$21,285","$19,875","$21,224","$21,188","$19,731","$20,468"
Canada Evergreen Prospecting (Lowest Cost) ROAS:,4.72,4.75,5.1,4.26,3.84,3.43,4.36,4.22,4.12,5.18,6.17,4.7,5.09,6.17,5.64,5.3,4.83,3.09,3.16,2.44,2.4,2.58,2.55,2.2,2.62,2.37,3.35,3.94,4,3.81,3.33,3.75,3.43,3.63,5.45,3.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Evergreen Retargeting (Lowest Cost),$888,$937,$945,$929,"$1,608","$1,543","$1,498","$1,811","$1,441","$1,787","$2,758","$2,544","$1,410","$1,449","$1,782","$2,156","$2,141","$2,549","$2,506","$3,148.00","$2,578","$2,670","$2,956","$2,998","$1,976","$3,382","$1,912","$2,065","$2,025","$2,030","$1,567","$1,475","$1,551","$1,503","$1,483","$1,494"
Canada Evergreen Retargeting (Lowest Cost) ROAS:,4.09,1.88,2.21,2.23,2.96,2.49,2.81,2.33,4.38,1.59,2.94,2.9,2.64,3.92,2.81,1.37,2.99,1.09,0.14,0.18,0.16,0.15,1,1.76,2.44,1.64,2.36,3.57,2.72,2.88,3.3,2.68,2.8,4.12,4.28,4.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Reeng (Lowest Cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,543","$11,596","11,392","$7,984","$4,717","$4,883","$2,703","$1,917","$1,911"
Canada Reeng (Lowest Cost) ROAS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,0.08,0.23,0.32,0.77,0.91,1.65,0.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US CNS Manual (carousel ads only - Lowest Cost)  Cost:,"$11,956","$11,952","$12,063","$11,824","$11,877","$12,008","$11,866","$12,064","$12,056","$11,870","$11,753","$12,159","$15,232","$14,006","$13,978","$14,187","$14,399","$20,941","$23,333","$27,177.00","$27,697","$30,394","$30,238","$32,974","$45,865","$44,480","$34,650","$22,851","$18,526","$11,358","$11,810","$11,243","$11,768","$27,734","$15,657",N/A
US CNS Manual (carousel ads only - Lowest Cost) ROAS:,7.76,8.4,10.28,7.83,7.42,6.72,6.13,6.42,9.64,8.44,8.34,10.18,7.27,10.49,7.53,7.22,6.59,5.61,5.61,4.18,4.586,4.502,3.59,3.32,3.114,3.962,4.69,7.09,9.87,6.22,3.35,2.76,1.76,0.85,1.68,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US CNS S+ 2.0 (carousel ads only - Lowest Cost)  Cost:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,547","$11,401","$11,466","$11,212","$11,014","$11,688","$12,803","$27,052"
US CNS S+ 2.0 (carousel ads only - Lowest Cost) ROAS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,3.6,3.22,3.16,3.94,4.08,5.01,2.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada CNS Manual (carousel ads only - Lowest Cost)  Cost:,"$8,607","$8,632","$8,746","$8,584","$7,690","$8,608","$8,527","$8,825","$8,718","$8,438","$8,743","$8,844","$11,008","$10,240","$10,394","$10,273","$10,283","$14,792","$16,836","$19,882.00","$19,727","$22,289","$21,649","$24,001","$30,478","$30,567","$22,858","$15,633","$15,652","$12,048","$7,727","$7,585","$7,779","$10,444","$11,377",N/A
Canada CNS Manual (carousel ads only - Lowest Cost) ROAS:,6.31,5.95,5.57,5.95,6.46,6.92,6.17,5.36,5.53,6.77,8.01,5.82,5.38,6.77,7.07,8.12,6.75,4.9,4.8,3.56,3.764,3.464,3.62,3.47,2.51,2.508,3.368,5.32,5.8,7.03,7.5,6.11,5.64,5.27,7.97,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada CNS S+ 2.0 (carousel ads only - Lowest Cost)  Cost:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,172","$7,844","$7,331","$7,703","$7,776","$7,588","$17,768"
Canada CNS S+ 2.0 (carousel ads only - Lowest Cost) ROAS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,4,4.85,5.83,7.77,10.19,4.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Female Audience Retargeting (Lowest Cost)  Cost:,"$4,649","$4,447","$2,741","$1,254","N/A (stopped and added Holiday season Viewers and clickers, to the platform retargeting on Feb 27)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
US Female Audience Retargeting (Lowest Cost)  ROAS:,6.11,7.14,11.59,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Male Audience Retargeting (Lowest Cost)  Cost:,"$2,314","$2,275","$1,391",$658,"N/A stopped and added Holiday season Viewers and clickers, to the platform retargeting on Feb 27)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
US Male Audience Retargeting (Lowest Cost)  ROAS:,4.79,4.44,7.42,11.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Female Audience Retargeting Glow Up (Lowest Cost)  Cost:,N/A,N/A,"$2,630","$4,677","$6,617","$6,794","$6,951","$6,768","$6,844","$6,724",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
US Male Audience Retargeting (Lowest Cost)  ROAS:,N/A,N/A,3.11,4.11,4.62,4.89,3.7,6.41,6.78,6.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor Data: lululemon MarSci x Sales ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
